SMILES,PKM2_inhibition,ERK2_inhibition,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,TPSA,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_barbitur,fr_benzene,fr_bicyclic,fr_dihydropyridine,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
C=C(C)c1nc(N)nc(N)n1,0,0,5.313888888888889,5.313888888888889,0.12083333333333357,0.12083333333333357,0.5922284516615577,9.545454545454545,151.173,0.22486254059755922,-0.36762877330549987,0.36762877330549987,0.22486254059755922,1.1818181818181819,1.6363636363636365,2.0,15.136768087917734,10.324115864834308,1.9995021028324966,-1.9853567276561883,2.0619501836288245,-2.0476555190343024,5.553819248949201,1.0442476271824221,1.8460467916839207,3.1860125339283023,272.7741587520256,3.022544446282774,2.1557448597591806,2.1557448597591806,1.0517229693805488,1.0517229693805488,0.6002299556039046,0.6002299556039046,-1.65,243.67817650227752,7.456951871657753,2.531037747759121,1.635046558778181,90.71,4,5,0,0,0,0,1,1,5,2,5,1,0,0,0,1,0.06909999999999988,43.3598,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(Cl)COc1ccc2c(C)cc(=O)oc2c1,0,0,11.238954212857983,11.238954212857983,0.22530761841773783,-0.36675638979871805,0.7854135781314269,10.470588235294118,250.68099999999998,0.3359621562154014,-0.4878768756623695,0.4878768756623695,0.3359621562154014,1.4705882352941178,2.235294117647059,2.9411764705882355,35.495704403200236,10.129818904506513,2.036407523787902,-2.05872963235298,2.2205495284651833,-1.9917142804237302,6.28950380538162,0.35902497901690805,2.2508289366725087,2.42829776784903,628.0874465289328,5.444609347125139,3.7123500444405444,4.246872528265392,2.31827638626366,2.4273853313816565,1.556670349689571,1.6112248222485692,-1.7399999999999998,6646.697849993919,11.736875617464657,4.634332104314085,2.6838370925322383,39.44,0,3,0,0,0,1,1,2,3,0,4,3,0,0,0,2,3.2327200000000014,67.70900000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCNC(=O)CCCC(=O)NCC=C,0,0,11.090706333459309,11.090706333459309,0.04961047073150193,-0.04961047073150193,0.5810616560654852,9.066666666666666,210.277,0.21975494493192718,-0.35264671753594246,0.35264671753594246,0.21975494493192718,0.9333333333333333,1.3333333333333333,1.6666666666666667,16.15139243375779,10.194130509286218,2.025366684855345,-2.024953117294272,1.9448460316282727,-2.2503222862550154,5.7843302415581,-0.12173993986539677,2.231161299655003,3.4295495460891723,212.74242061785375,4.955455014692411,3.039058011260055,3.039058011260055,1.6948143829493563,1.6948143829493563,0.9582877734671448,0.9582877734671448,-1.58,1767.0797493267626,13.42,8.993914858931106,8.74206119162641,58.2,2,4,0,0,0,0,0,0,2,2,4,8,0,0,0,0,0.7610999999999999,60.26440000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCOn1c(=O)c(C)[n+]([O-])c2ccccc21,0,0,11.89223828420257,11.89223828420257,0.07663170823885124,-0.45782407407407333,0.44109034516958895,10.411764705882353,232.23899999999998,0.3516241185670493,-0.6178879092569419,0.6178879092569419,0.3516241185670493,1.5294117647058822,2.235294117647059,2.9411764705882355,16.65860716406696,10.26693269274244,2.1653569194840805,-2.1093267762996337,2.062715563982788,-2.432023918289352,5.705260869913356,-0.5857232687246199,2.3618148302261397,2.8020265564294933,631.4187253539496,5.146221692614124,3.5524735114736394,3.5524735114736394,2.439418558159443,2.439418558159443,1.5869486786342308,1.5869486786342308,-2.2999999999999994,8230.924683338097,11.193326301269831,4.288212462884979,1.75386751956906,58.17,0,5,0,0,0,1,1,2,4,0,5,3,0,0,0,2,0.5579200000000001,63.549000000000035,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCn1cc(Cl)c(=O)n(CC=C)c1=O,0,0,11.69358024691358,11.69358024691358,0.012314814814815334,-0.4982602670697902,0.7203434488045809,9.933333333333334,226.66299999999995,0.3311432712419003,-0.29509931901855385,0.3311432712419003,0.29509931901855385,1.2666666666666666,1.8666666666666667,2.4,35.49569130631923,10.48628143533195,2.0689676524658545,-2.0665186084728133,1.9703464843152148,-2.3884195739586827,6.297760172663907,0.625698602150545,2.211253949960382,3.4781145225621946,499.1243443235101,4.708338111458743,2.9050811452534475,3.3122812719940544,1.8327157150351914,2.091972822783942,1.1780885881217888,1.397909290906596,-1.5499999999999996,2047.6211576633139,11.524349442379183,4.794988653138566,2.274281430740086,44.0,0,4,0,0,0,0,1,1,4,0,5,4,0,0,0,1,1.0353999999999997,60.36600000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)N(C)c1ccc(NC(=O)c2ccco2)cc1,0,0,11.732827590912908,11.732827590912908,0.04873043636391339,-0.3077106428991345,0.919643862380939,10.0,258.277,0.2908486084750213,-0.45919127900218215,0.45919127900218215,0.2908486084750213,1.1578947368421053,1.8421052631578947,2.3684210526315788,16.34062220541161,10.228251760491968,2.0916996188818975,-2.1475756200834706,2.1723277061115107,-2.2218791317404705,6.019666803519547,-0.11580008338062726,2.9234590667780678,2.069068215582925,573.2483621036461,5.769210893398624,4.056334620041675,4.056334620041675,2.729780045903614,2.729780045903614,1.550626760714988,1.550626760714988,-2.5599999999999996,27258.332338638706,12.885564346435487,5.389882272896517,3.009930981608335,62.550000000000004,1,5,0,0,0,1,1,2,3,1,5,3,0,0,0,2,2.5146000000000006,72.18720000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)c1c(N(C)C)cc[nH+]c1C(F)(F)F,0,0,12.650129440665156,12.650129440665156,0.2486805555555558,-4.5624768518518515,0.7296858129161745,11.375,233.21299999999997,0.47779976114222533,-0.37669223921204814,0.47779976114222533,0.37669223921204814,1.375,1.9375,2.3125,19.413219587986934,10.06916184477606,2.4289067481411646,-2.1568171407631107,2.3205852079237927,-2.273018499661593,6.000136869036392,-0.42547129044355403,2.1449633119336027,3.5155596118206547,413.015435837158,4.549788446018627,3.5612837895671645,3.5612837895671645,2.0923552475898215,2.0923552475898215,1.4401395239998225,1.4401395239998225,-1.59,2211.4571746035444,12.47939625260236,4.112336342245376,2.3163611264478923,34.45,1,3,0,0,0,0,1,1,2,0,6,2,0,0,0,1,1.7881,52.33120000000002,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(C)(N[O-])/C(=N/O)c1cccs1,0,0,10.609822373393802,10.609822373393802,0.3587962962962967,-0.8615046296296294,0.44279061097253763,13.307692307692308,199.25500000000002,0.11521807792630571,-0.7871008090800096,0.7871008090800096,0.11521807792630571,1.6923076923076923,2.3846153846153846,2.769230769230769,32.13347326971012,9.9827475986704,2.231974944443148,-2.2967923023662413,2.176389405920313,-2.432846827266287,7.117986065474728,0.3131568102829928,2.581835931302468,3.0082265404691273,293.10248814983055,4.652551961125733,3.1529702905593293,4.100664483558202,1.7017322762405485,2.5783157026993404,0.9439180955676565,1.8124067813254794,-0.9099999999999999,1019.8251928644748,10.17271298593879,3.8657142940293716,2.0601846789516176,67.67999999999999,2,4,0,0,0,0,1,1,5,2,5,3,0,0,0,1,1.7924,53.22420000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CC(C)C(=O)Nc1cc(=O)nc2nc[nH]n12,0,0,11.507898715041573,11.507898715041573,0.16496409674981116,-0.4387443310657593,0.7468371919365746,10.9375,221.22,0.27625382519397884,-0.31021246181855283,0.31021246181855283,0.27625382519397884,1.5625,2.3125,3.0,16.15068712255335,10.193088207698747,2.10681852472104,-2.075370763893712,2.0544571072919484,-2.216952736242699,5.908482967753431,-0.11846380068280396,2.6453871244530736,2.468616370799737,582.842024519899,4.817489043469402,3.646278884943332,3.646278884943332,2.0537918523657592,2.0537918523657592,1.1908444752628902,1.1908444752628902,-2.18,5288.1288617816945,10.341598816932294,3.7619540427848546,1.7879597866742194,92.15,2,7,0,0,0,0,2,2,5,2,7,2,0,0,0,2,0.012099999999999889,57.07540000000001,0,0,0,0,0,4,1,0,0,0,1,1,0,0,3,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)[NH+](Cc1nc2ccccc2[nH]1)C(C)C,0,0,4.6409259259259255,4.6409259259259255,0.6140854119425545,0.6140854119425545,0.8272033839040371,12.176470588235293,232.35100000000003,0.16221392286469416,-0.33720596208450176,0.33720596208450176,0.16221392286469416,1.1176470588235294,1.7647058823529411,2.3529411764705883,15.189016464137099,10.209842353651602,2.1861250833123105,-2.2586838041284762,2.0900685736789337,-3.162025615425923,5.7409593796348215,-0.9553971620237937,2.667876314520772,2.220398024933982,443.92790867547563,6.368421991824262,5.261739163674579,5.261739163674579,3.2931519144766592,3.2931519144766592,2.3576230228045474,2.3576230228045474,-1.3499999999999999,8619.908372216614,12.11605163722281,4.880233899047509,2.6666700317646295,33.120000000000005,2,3,0,0,0,1,1,2,1,2,3,4,0,0,0,2,1.7645999999999993,71.03240000000004,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
